31-03-2026 19:33:36 | GET | cafeteria-api/produtos
31-03-2026 19:33:39 | POST | cafeteria-api/produtos
31-03-2026 19:33:39 | GET | cafeteria-api/produtos
31-03-2026 19:33:39 | POST | cafeteria-api/produtos
31-03-2026 19:33:39 | GET | cafeteria-api/produtos
31-03-2026 19:33:39 | POST | cafeteria-api/produtos
31-03-2026 19:33:39 | GET | cafeteria-api/produtos
31-03-2026 19:53:20 | POST | cafeteria-api/produtos
31-03-2026 19:53:20 | GET | cafeteria-api/produtos
31-03-2026 19:56:13 | GET | cafeteria-api/produtos
31-03-2026 19:56:15 | OPTIONS | cafeteria-api/produtos/6
31-03-2026 19:56:15 | DELETE | cafeteria-api/produtos/6
31-03-2026 19:56:15 | GET | cafeteria-api/produtos
31-03-2026 19:56:17 | OPTIONS | cafeteria-api/produtos/5
31-03-2026 19:56:17 | DELETE | cafeteria-api/produtos/5
31-03-2026 19:56:17 | GET | cafeteria-api/produtos
31-03-2026 20:00:39 | GET | cafeteria-api/produtos
31-03-2026 20:01:03 | GET | cafeteria-api/produtos
31-03-2026 20:03:48 | GET | cafeteria-api/produtos
31-03-2026 20:04:07 | GET | cafeteria-api/produtos
31-03-2026 20:05:31 | GET | cafeteria-api/produtos
31-03-2026 20:06:45 | GET | cafeteria-api/produtos
31-03-2026 20:09:31 | GET | cafeteria-api/categorias
31-03-2026 20:09:31 | GET | cafeteria-api/produtos
31-03-2026 20:09:44 | POST | cafeteria-api/produtos
31-03-2026 20:09:44 | GET | cafeteria-api/produtos
31-03-2026 20:09:47 | OPTIONS | cafeteria-api/produtos/7
31-03-2026 20:09:47 | DELETE | cafeteria-api/produtos/7
31-03-2026 20:09:47 | GET | cafeteria-api/produtos
31-03-2026 20:17:21 | POST | cafeteria-api/produtos
31-03-2026 20:17:21 | GET | cafeteria-api/produtos
31-03-2026 20:17:22 | OPTIONS | cafeteria-api/produtos/8
31-03-2026 20:17:22 | DELETE | cafeteria-api/produtos/8
31-03-2026 20:17:22 | GET | cafeteria-api/produtos
31-03-2026 20:45:57 | GET | cafeteria-api/produtos
s
31-03-2026 20:48:56 | GET | cafeteria-api/categorias
31-03-2026 20:48:59 | POST | cafeteria-api/categorias
31-03-2026 20:48:59 | GET | cafeteria-api/categorias
31-03-2026 20:49:00 | GET | cafeteria-api/categorias
31-03-2026 20:49:00 | GET | cafeteria-api/categorias
31-03-2026 20:49:00 | GET | cafeteria-api/produtos
31-03-2026 20:49:09 | POST | cafeteria-api/produtos
31-03-2026 20:49:09 | GET | cafeteria-api/produtos
07-04-2026 13:00:55 | GET | cafeteria-api/categorias
07-04-2026 13:00:58 | GET | cafeteria-api/categorias
07-04-2026 13:00:58 | GET | cafeteria-api/categorias
07-04-2026 13:00:58 | GET | cafeteria-api/produtos
07-04-2026 14:46:14 | GET | cafeteria-api/categorias
07-04-2026 14:46:14 | GET | cafeteria-api/produtos
07-04-2026 15:28:24 | GET | cafeteria-api/categorias
07-04-2026 15:28:24 | GET | cafeteria-api/produtos
07-04-2026 15:28:40 | GET | cafeteria-api/categorias
07-04-2026 15:28:40 | GET | cafeteria-api/categorias
07-04-2026 15:29:12 | POST | cafeteria-api/categorias
