2026-04-10 14:54:11 | GET | meus-planos-api/itens
2026-04-10 14:55:18 | GET | meus-planos-api/categorias
2026-04-10 14:55:19 | GET | meus-planos-api/categorias
2026-04-10 14:55:19 | GET | meus-planos-api/itens
2026-04-10 15:26:04 | GET | meus-planos-api/categorias
2026-04-10 15:26:19 | GET | meus-planos-api/categorias
2026-04-10 15:26:23 | POST | meus-planos-api/categorias
2026-04-10 15:26:23 | GET | meus-planos-api/categorias
2026-04-10 15:26:24 | OPTIONS | meus-planos-api/categorias/6
2026-04-10 15:26:24 | DELETE | meus-planos-api/categorias/6
2026-04-10 15:26:24 | GET | meus-planos-api/categorias
2026-04-10 15:26:27 | GET | meus-planos-api/categorias
2026-04-10 15:26:27 | GET | meus-planos-api/itens
2026-04-10 15:26:32 | POST | meus-planos-api/itens
2026-04-10 15:26:32 | GET | meus-planos-api/itens
2026-04-10 15:26:34 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:26:34 | PUT | meus-planos-api/itens/4
2026-04-10 15:26:34 | GET | meus-planos-api/itens
2026-04-10 15:26:35 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:26:35 | DELETE | meus-planos-api/itens/4
2026-04-10 15:26:35 | GET | meus-planos-api/itens
2026-04-10 15:28:16 | GET | meus-planos-api/categorias
2026-04-10 15:28:41 | GET | meus-planos-api/categorias
2026-04-10 15:28:42 | GET | meus-planos-api/categorias
2026-04-10 15:28:42 | GET | meus-planos-api/itens
2026-04-10 15:28:44 | GET | meus-planos-api/categorias
2026-04-10 15:29:19 | GET | meus-planos-api/categorias
2026-04-10 15:29:26 | GET | meus-planos-api/itens
2026-04-10 15:29:26 | GET | meus-planos-api/categorias
2026-04-10 15:29:32 | GET | meus-planos-api/categorias
2026-04-10 15:29:32 | GET | meus-planos-api/categorias
2026-04-10 15:29:32 | GET | meus-planos-api/itens
2026-04-10 15:31:00 | GET | meus-planos-api/categorias
2026-04-10 15:31:00 | GET | meus-planos-api/categorias
2026-04-10 15:31:20 | GET | meus-planos-api/categorias
2026-04-10 15:31:27 | GET | meus-planos-api/categorias
2026-04-10 15:31:35 | GET | meus-planos-api/categorias
2026-04-10 15:31:46 | GET | meus-planos-api/categorias
2026-04-10 15:31:58 | GET | meus-planos-api/categorias
2026-04-10 15:32:15 | GET | meus-planos-api/categorias
2026-04-10 15:33:29 | GET | meus-planos-api/categorias
2026-04-10 15:33:40 | GET | meus-planos-api/categorias
2026-04-10 15:33:59 | GET | meus-planos-api/categorias
2026-04-10 15:34:11 | GET | meus-planos-api/categorias
2026-04-10 15:34:20 | GET | meus-planos-api/categorias
2026-04-10 15:34:29 | GET | meus-planos-api/categorias
2026-04-10 15:36:07 | OPTIONS | meus-planos-api/categorias/7
2026-04-10 15:36:07 | DELETE | meus-planos-api/categorias/7
2026-04-10 15:36:07 | GET | meus-planos-api/categorias
2026-04-10 15:36:07 | OPTIONS | meus-planos-api/categorias/5
2026-04-10 15:36:07 | DELETE | meus-planos-api/categorias/5
2026-04-10 15:36:08 | GET | meus-planos-api/categorias
2026-04-10 15:36:08 | OPTIONS | meus-planos-api/categorias/2
2026-04-10 15:36:08 | DELETE | meus-planos-api/categorias/2
2026-04-10 15:36:08 | GET | meus-planos-api/categorias
2026-04-10 15:36:16 | POST | meus-planos-api/categorias
2026-04-10 15:36:16 | GET | meus-planos-api/categorias
2026-04-10 15:36:25 | POST | meus-planos-api/categorias
2026-04-10 15:36:25 | GET | meus-planos-api/categorias
2026-04-10 15:36:27 | GET | meus-planos-api/categorias
2026-04-10 15:36:27 | GET | meus-planos-api/itens
2026-04-10 15:36:36 | POST | meus-planos-api/itens
2026-04-10 15:36:36 | GET | meus-planos-api/itens
2026-04-10 15:36:55 | POST | meus-planos-api/itens
2026-04-10 15:36:55 | GET | meus-planos-api/itens
2026-04-10 15:37:02 | POST | meus-planos-api/itens
2026-04-10 15:37:02 | GET | meus-planos-api/itens
2026-04-10 15:37:43 | POST | meus-planos-api/itens
2026-04-10 15:37:43 | GET | meus-planos-api/itens
2026-04-10 15:37:55 | POST | meus-planos-api/itens
2026-04-10 15:37:55 | GET | meus-planos-api/itens
2026-04-10 16:13:00 | GET | meus-planos-api/categorias
2026-04-10 16:14:17 | GET | meus-planos-api/categorias
2026-04-10 16:14:17 | GET | meus-planos-api/categorias
2026-04-10 16:14:17 | GET | meus-planos-api/itens
2026-04-10 16:17:40 | GET | meus-planos-api/categorias
2026-04-10 16:17:42 | GET | meus-planos-api/categorias
2026-04-10 16:17:42 | GET | meus-planos-api/itens
2026-04-10 16:17:44 | GET | meus-planos-api/categorias
2026-04-10 16:17:46 | GET | meus-planos-api/categorias
2026-04-10 16:17:46 | GET | meus-planos-api/itens
2026-04-10 16:18:01 | GET | meus-planos-api/categorias
2026-04-10 16:18:02 | GET | meus-planos-api/categorias
2026-04-10 16:18:02 | GET | meus-planos-api/itens
2026-04-10 16:21:06 | GET | meus-planos-api/categorias
2026-04-10 16:21:16 | GET | meus-planos-api/categorias
2026-04-10 16:21:21 | GET | meus-planos-api/categorias
2026-04-10 16:21:21 | GET | meus-planos-api/itens
2026-04-10 16:23:35 | GET | meus-planos-api/categorias
2026-04-10 16:23:38 | GET | meus-planos-api/itens
rias
2026-04-10 16:25:13 | OPTIONS | meus-planos-api/itens/9
2026-04-10 16:25:13 | PUT | meus-planos-api/itens/9
2026-04-10 16:25:13 | GET | meus-planos-api/itens
2026-04-10 16:25:14 | OPTIONS | meus-planos-api/itens/9
2026-04-10 16:25:14 | PUT | meus-planos-api/itens/9
2026-04-10 16:25:14 | GET | meus-planos-api/itens
2026-04-10 16:25:14 | OPTIONS | meus-planos-api/itens/9
2026-04-10 16:25:14 | PUT | meus-planos-api/itens/9
2026-04-10 16:25:14 | GET | meus-planos-api/itens
2026-04-10 16:25:14 | OPTIONS | meus-planos-api/itens/9
2026-04-10 16:25:14 | PUT | meus-planos-api/itens/9
2026-04-10 16:25:14 | GET | meus-planos-api/itens
2026-04-10 16:25:53 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:25:53 | DELETE | meus-planos-api/itens/5
2026-04-10 16:25:53 | GET | meus-planos-api/itens
2026-04-10 16:25:55 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:25:55 | PUT | meus-planos-api/itens/6
2026-04-10 16:25:55 | GET | meus-planos-api/itens
2026-04-10 16:27:36 | GET | meus-planos-api/itens
2026-04-10 16:27:36 | GET | meus-planos-api/categorias
2026-04-10 16:27:36 | GET | meus-planos-api/categorias
2026-04-10 16:27:37 | GET | meus-planos-api/categorias
2026-04-10 16:27:37 | GET | meus-planos-api/itens
2026-04-10 16:27:37 | GET | meus-planos-api/categorias
2026-04-10 16:27:38 | GET | meus-planos-api/categorias
2026-04-10 16:27:38 | GET | meus-planos-api/itens
2026-04-10 16:27:40 | OPTIONS | meus-planos-api/itens/8
2026-04-10 16:27:40 | PUT | meus-planos-api/itens/8
2026-04-10 16:27:40 | GET | meus-planos-api/itens
2026-04-10 16:27:41 | OPTIONS | meus-planos-api/itens/9
2026-04-10 16:27:41 | PUT | meus-planos-api/itens/9
2026-04-10 16:27:41 | GET | meus-planos-api/itens
2026-04-10 16:27:42 | GET | meus-planos-api/categorias
2026-04-10 16:27:42 | GET | meus-planos-api/categorias
2026-04-10 16:27:42 | GET | meus-planos-api/itens
2026-04-10 16:27:43 | GET | meus-planos-api/categorias
2026-04-10 16:27:44 | GET | meus-planos-api/itens
rias
2026-04-10 16:27:58 | OPTIONS | meus-planos-api/itens/9
2026-04-10 16:27:58 | PUT | meus-planos-api/itens/9
2026-04-10 16:27:58 | GET | meus-planos-api/itens
2026-04-10 16:31:14 | GET | meus-planos-api/itens
2026-04-10 16:31:14 | GET | meus-planos-api/categorias
2026-04-10 16:31:15 | GET | meus-planos-api/categorias
2026-04-10 16:31:18 | POST | meus-planos-api/categorias
2026-04-10 16:31:18 | GET | meus-planos-api/categorias
2026-04-10 16:31:19 | OPTIONS | meus-planos-api/categorias/10
2026-04-10 16:31:19 | DELETE | meus-planos-api/categorias/10
2026-04-10 16:31:19 | GET | meus-planos-api/categorias
2026-04-10 16:31:20 | GET | meus-planos-api/categorias
2026-04-10 16:31:20 | GET | meus-planos-api/itens
2026-04-10 16:31:23 | POST | meus-planos-api/itens
2026-04-10 16:31:23 | GET | meus-planos-api/itens
2026-04-10 16:31:51 | GET | meus-planos-api/categorias
2026-04-10 16:31:51 | OPTIONS | meus-planos-api/itens/10
2026-04-10 16:31:51 | DELETE | meus-planos-api/itens/10
2026-04-10 16:31:51 | GET | meus-planos-api/itens
2026-04-10 16:31:54 | POST | meus-planos-api/itens
2026-04-10 16:31:55 | GET | meus-planos-api/itens
2026-04-10 16:31:56 | OPTIONS | meus-planos-api/itens/11
2026-04-10 16:31:56 | DELETE | meus-planos-api/itens/11
2026-04-10 16:31:56 | GET | meus-planos-api/itens
2026-04-10 16:39:07 | GET | meus-planos-api/categorias
2026-04-10 16:39:08 | GET | meus-planos-api/categorias
2026-04-10 16:39:08 | GET | meus-planos-api/itens
2026-04-10 16:39:09 | GET | meus-planos-api/categorias
2026-04-10 16:39:14 | GET | meus-planos-api/categorias
2026-04-10 16:39:17 | POST | meus-planos-api/categorias
2026-04-10 16:39:17 | GET | meus-planos-api/categorias
2026-04-10 16:39:19 | OPTIONS | meus-planos-api/categorias/11
2026-04-10 16:39:19 | DELETE | meus-planos-api/categorias/11
2026-04-10 16:39:19 | GET | meus-planos-api/categorias
2026-04-10 16:39:20 | GET | meus-planos-api/categorias
2026-04-10 16:39:20 | GET | meus-planos-api/itens
2026-04-10 16:39:23 | GET | meus-planos-api/categorias
2026-04-10 16:39:23 | GET | meus-planos-api/itens
2026-04-10 16:39:24 | GET | meus-planos-api/categorias
2026-04-10 16:40:11 | GET | meus-planos-api/categorias
2026-04-10 16:40:13 | GET | meus-planos-api/categorias
2026-04-10 16:40:13 | GET | meus-planos-api/itens
2026-04-10 16:40:15 | GET | meus-planos-api/categorias
2026-04-10 16:45:46 | GET | meus-planos-api/categorias
2026-04-10 16:45:46 | GET | meus-planos-api/categorias
2026-04-10 16:45:46 | GET | meus-planos-api/itens
2026-04-10 16:45:48 | GET | meus-planos-api/categorias
2026-04-10 16:55:52 | GET | meus-planos-api/categorias
2026-04-10 16:55:52 | GET | meus-planos-api/categorias
2026-04-10 16:55:52 | GET | meus-planos-api/itens
2026-04-10 16:55:56 | GET | meus-planos-api/categorias
2026-04-10 16:55:58 | POST | meus-planos-api/categorias
2026-04-10 16:55:58 | GET | meus-planos-api/categorias
2026-04-10 16:56:00 | OPTIONS | meus-planos-api/categorias/12
2026-04-10 16:56:00 | DELETE | meus-planos-api/categorias/12
2026-04-10 16:56:00 | GET | meus-planos-api/categorias
2026-04-10 16:56:01 | GET | meus-planos-api/categorias
2026-04-10 16:56:01 | GET | meus-planos-api/itens
2026-04-10 16:56:04 | POST | meus-planos-api/itens
2026-04-10 16:56:04 | GET | meus-planos-api/itens
2026-04-10 16:56:05 | OPTIONS | meus-planos-api/itens/12
2026-04-10 16:56:05 | DELETE | meus-planos-api/itens/12
2026-04-10 16:56:05 | GET | meus-planos-api/itens
2026-04-10 17:02:14 | GET | meus-planos-api/categorias
2026-04-10 17:02:15 | GET | meus-planos-api/categorias
2026-04-10 17:02:15 | GET | meus-planos-api/itens
2026-04-10 17:02:27 | GET | meus-planos-api/categorias
2026-04-10 17:13:17 | GET | meus-planos-api/categorias
2026-04-10 17:13:18 | GET | meus-planos-api/categorias
2026-04-10 17:13:18 | GET | meus-planos-api/itens
2026-04-10 17:14:55 | GET | meus-planos-api/categorias
2026-04-10 17:16:26 | GET | meus-planos-api/itens
rias
2026-04-10 17:18:09 | GET | meus-planos-api/categorias
2026-04-10 17:18:11 | GET | meus-planos-api/categorias
2026-04-10 17:18:11 | GET | meus-planos-api/itens
2026-04-10 18:47:02 | GET | meus-planos-api/categorias
2026-04-10 18:47:03 | GET | meus-planos-api/categorias
2026-04-10 18:47:03 | GET | meus-planos-api/itens
2026-04-10 18:47:04 | OPTIONS | meus-planos-api/itens/9
